GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobIncome,JobNumber
2023,FSKTM,Fac1,Male,22,Non-Malaysian,Lain-lain,Band 2,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.1,2019,2023,52,Pekerja Kemahiran dan Pekerja Pertukangan yang berkaitan,Private workers (including NGOs),Contract,"Lebih daripada RM10,000",Pertama
2023,FSKTM,Fac1,Male,28,Non-Malaysian,Lain-lain,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.73,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"Lebih daripada RM10,000",Ke- 2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.21,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM4,001- RM5,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.34,2019,2023,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM4,001- RM5,000",11
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UMS,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.5,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM4,001- RM5,000",Pertama
2023,FSKTM,Fac1,Male,23,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.57,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM4,001- RM5,000",Pertama
2023,FSKTM,Fac1,Male,24,Malaysian,Diploma,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.55,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM4,001- RM5,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.74,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.73,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.71,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.71,2019,2023,52,Profesional,Private workers (including NGOs),Temporary,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.64,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.56,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.54,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.66,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.7,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 2,BACELOR KEJURUTERAAN PERISIAN,3.66,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.42,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.71,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Ke- 2
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.69,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.62,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.52,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.59,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.5,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,23,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.6,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",11
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.53,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.7,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.67,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,24,Malaysian,Diploma,Band 5,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.58,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.55,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.26,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.71,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.69,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.62,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.61,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.13,2019,2023,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.52,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.7,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Ke- 2
2023,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.43,2018,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.64,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.52,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 5,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.01,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.68,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 2,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.58,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.71,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.61,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.64,2019,2023,Bekerja sepenuh masa,Pengurus,Self-employed/Freelance,Not applicable,"RM1,000 dan ke bawah",-2
2023,FSKTM,Fac1,Male,24,Malaysian,Diploma,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.29,2019,2023,52,Profesional,Free,Not applicable,"RM1,000 dan ke bawah",-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.35,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Free,Not applicable,"RM1,000 dan ke bawah",-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.11,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Contract,"RM2,001- RM2,500",11
2023,FSKTM,Fac1,Female,27,Malaysian,Diploma dan Kelayakan Lain yang Setaraf (Aliran Sains),Band 5,BACELOR KEJURUTERAAN PERISIAN,3.27,2017,2023,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.34,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.62,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.49,2019,2023,Bekerja sepenuh masa,Profesional,Self-employed/Freelance,Not applicable,"RM2,001- RM2,500",-2
2023,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.31,2018,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.73,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.55,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.74,2019,2023,52,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,23,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.65,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.73,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.59,2018,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.59,2019,2023,52,Profesional,Private workers (including NGOs),Temporary,"RM2,001- RM2,500",Pertama
2023,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.35,2018,2023,Bekerja sepenuh masa,Pekerja Sokongan Perkeranian,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.2,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.0,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.41,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.58,2019,2023,52,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Temporary,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Male,24,Non-Malaysian,Lain-lain,Band 2,BACELOR KEJURUTERAAN PERISIAN,3.29,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.35,2019,2023,52,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.65,2019,2023,52,Profesional,Private workers (including NGOs),Temporary,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.68,2019,2023,52,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.49,2019,2023,52,Profesional,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.4,2019,2023,Bekerja sepenuh masa,Profesional,Free,Not applicable,"RM1,001- RM1,500",-2
2023,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,3.5,2018,2023,Melanjutkan pengajian (SKPG 2.0),-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Asasi UPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.72,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.65,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Non-Malaysian,Lain-lain,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.63,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 5,BACELOR KEJURUTERAAN PERISIAN,3.54,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,23,Non-Malaysian,Lain-lain,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.53,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Asasi UPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.48,2019,2023,Bekerja sepenuh masa,Pengurus,Work with family (no wages/salary),Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,21,Non-Malaysian,Lain-lain,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.43,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 5,BACELOR KEJURUTERAAN PERISIAN,3.37,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.34,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,24,Non-Malaysian,Lain-lain,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.16,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,23,Non-Malaysian,Lain-lain,Band 5,BACELOR KEJURUTERAAN PERISIAN,3.11,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.06,2018,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Non-Malaysian,Lain-lain,Band 2,BACELOR KEJURUTERAAN PERISIAN,3.05,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.66,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.63,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.56,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.55,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,24,Malaysian,Diploma,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.53,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.23,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Non-Malaysian,Lain-lain,Band 2,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.22,2019,2023,52,Profesional,Work with family (no wages/salary),Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.16,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,21,Non-Malaysian,Lain-lain,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.03,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,23,Malaysian,STPM Aliran Sains,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.72,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.68,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.68,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Male,22,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.59,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2023,FSKTM,Fac1,Female,22,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.56,2019,2023,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
